Phase,Iteration,Time,Speed,Acceleration,F motor,F res,F total,F motor/TM,F res/TM,P Wheel,P Motor out, P Motor In, P VVVF in, P Catenary,E motor,E pow,E regen,E APS
Starting,0,0,0,1,115.881,13.1037,102.778,4.82839,0.717213,16.0946,16.4231,18.4529,19.2218,49.2218,0,0,0,0
Accelerating,1,0.5,0.5,1,115.881,4.30328,102.778,4.82839,0.717213,16.0946,16.4231,18.4529,19.2218,49.2218,0,0,0,0
Accelerating,2,1,1.04268,1.08537,115.881,4.33003,111.551,4.82839,0.721672,33.5632,34.2482,38.4811,40.0845,70.0845,0.00228099,0.0026697,0,0.00416667
Accelerating,3,1.5,1.58522,1.08508,115.881,4.3597,111.522,4.82839,0.726616,51.0271,52.0685,58.5039,60.9416,90.9416,0.00703768,0.00823698,0,0.00833333
Accelerating,4,2,2.12761,1.08478,115.881,4.39001,111.491,4.82839,0.731669,68.4863,69.884,78.5214,81.7931,111.793,0.0215012,0.0251652,0,0.0166667
Accelerating,5,2.5,2.66985,1.08448,115.881,4.42098,111.46,4.82839,0.73683,85.9407,87.6945,98.5332,102.639,132.639,0.0409134,0.0478855,0,0.025
Accelerating,6,3,3.21194,1.08417,115.881,4.45259,111.429,4.82839,0.742098,103.39,105.5,118.539,123.479,153.479,0.0774528,0.0906517,0,0.0375
Accelerating,7,3.5,3.75387,1.08386,115.881,4.48485,111.397,4.82839,0.747475,120.834,123.3,138.54,144.312,174.312,0.121411,0.142101,0,0.05
Accelerating,8,4,4.29564,1.08354,115.881,4.51775,111.364,4.82839,0.752959,138.274,141.095,158.534,165.14,195.14,0.189911,0.222274,0,0.0666667
Accelerating,9,4.5,4.83724,1.08321,115.881,4.5513,111.33,4.82839,0.75855,155.707,158.885,178.523,185.961,215.961,0.268298,0.314019,0,0.0833333
Accelerating,10,5,5.37868,1.08288,115.881,4.58549,111.296,4.82839,0.764249,173.136,176.669,198.505,206.776,236.776,0.378635,0.443158,0,0.104167
Accelerating,11,5.5,5.91995,1.08254,115.881,4.62033,111.261,4.82839,0.770055,190.559,194.448,218.481,227.584,257.584,0.501322,0.586753,0,0.125
Accelerating,12,6,6.46105,1.0822,115.881,4.65581,111.226,4.82839,0.775968,207.977,212.221,238.451,248.386,278.386,0.663362,0.776407,0,0.15
Accelerating,13,6.5,7.00197,1.08184,115.881,4.69193,111.19,4.82839,0.781988,225.389,229.988,258.414,269.181,299.181,0.840213,0.983395,0,0.175
Accelerating,14,7,7.54272,1.08149,115.881,4.72869,111.153,4.82839,0.788115,242.795,247.75,278.37,289.969,319.969,1.06381,1.2451,0,0.204167
Accelerating,15,7.5,8.08328,1.08112,115.881,4.76609,111.115,4.82839,0.794349,260.195,265.505,298.32,310.75,340.75,1.30468,1.52701,0,0.233333
Accelerating,16,8,8.62365,1.08075,115.881,4.80414,111.077,4.82839,0.800689,277.589,283.254,318.263,331.524,361.524,1.59969,1.87229,0,0.266667
Accelerating,17,8.5,9.16384,1.08038,115.881,4.84282,111.039,4.82839,0.807136,294.978,300.998,338.2,352.291,382.291,1.91441,2.24065,0,0.3
Accelerating,18,9,9.70384,1.07999,115.881,4.88213,110.999,4.82839,0.813689,312.36,318.734,358.129,373.051,403.051,2.29066,2.68102,0,0.3375
Accelerating,19,9.5,10.2436,1.0796,115.881,4.92209,110.959,4.82839,0.820348,329.736,336.465,378.05,393.803,423.803,2.68908,3.14733,0,0.375
Accelerating,20,10,10.7832,1.07921,115.881,4.96268,110.919,4.82839,0.827113,347.105,354.189,397.965,414.547,444.547,3.15639,3.69428,0,0.416667
Accelerating,21,10.5,11.3227,1.07881,115.881,5.0039,110.878,4.82839,0.833984,364.468,371.906,417.872,435.284,465.284,3.64832,4.27004,0,0.458333
Accelerating,22,11,11.8619,1.0784,115.881,5.04576,110.836,4.82839,0.84096,381.825,389.617,437.772,456.012,486.012,4.21651,4.93505,0,0.504167
Accelerating,23,11.5,12.4008,1.07799,115.881,5.08825,110.793,4.82839,0.848042,399.174,407.321,457.664,476.733,506.733,4.81176,5.63174,0,0.55
Accelerating,24,12,12.9396,1.07757,115.881,5.13137,110.75,4.82839,0.855229,416.518,425.018,477.548,497.446,527.446,5.49063,6.42629,0,0.6
Accelerating,25,12.5,13.4782,1.07714,115.881,5.17513,110.706,4.82839,0.862521,433.854,442.708,497.425,518.151,548.151,6.19899,7.25537,0,0.65
Accelerating,26,13,14.0166,1.07671,115.881,5.21951,110.662,4.82839,0.869918,451.183,460.391,517.293,538.847,568.847,6.99832,8.19092,0,0.704167
Accelerating,27,13.5,14.5547,1.07627,115.881,5.26452,110.617,4.82839,0.877421,468.505,478.067,537.154,559.535,589.535,7.82958,9.16384,0,0.758333
Accelerating,28,14,15.0926,1.07583,115.881,5.31016,110.571,4.82839,0.885027,485.82,495.735,557.006,580.214,610.214,8.75916,10.2518,0,0.816667
Accelerating,29,14.5,15.6303,1.07538,115.881,5.35643,110.525,4.82839,0.892738,503.128,513.396,576.85,600.885,630.885,9.72309,11.38,0,0.875
Accelerating,30,15,16.1678,1.07492,115.881,5.40332,110.478,4.82839,0.900554,520.429,531.05,596.685,621.547,651.547,10.7927,12.6319,0,0.9375
Accelerating,31,15.5,16.705,1.07446,115.881,5.45084,110.431,4.82839,0.908473,537.722,548.696,616.512,642.2,672.2,11.899,13.9268,0,1
Accelerating,32,16,17.242,1.07399,115.881,5.49898,110.382,4.82839,0.916497,555.007,566.334,636.33,662.844,692.844,13.1183,15.3539,0,1.06667
Accelerating,33,16.5,17.7787,1.07352,115.881,5.54774,110.334,4.82839,0.924624,572.285,583.964,656.14,683.479,713.479,14.3769,16.8268,0,1.13333
Accelerating,34,17,18.3153,1.07304,115.881,5.59713,110.284,4.82839,0.932854,589.555,601.587,675.941,704.105,734.105,15.7557,18.4406,0,1.20417
Accelerating,35,17.5,18.8515,1.07255,115.881,5.64713,110.234,4.82839,0.941188,606.818,619.202,695.732,724.721,754.721,17.1761,20.1031,0,1.275
Accelerating,36,18,19.3876,1.07206,115.881,5.69775,110.184,4.82839,0.949626,624.072,636.808,715.515,745.328,775.328,18.7241,21.9149,0,1.35
Accelerating,37,18.5,19.9233,1.07156,115.881,5.74899,110.132,4.82839,0.958166,641.318,654.407,735.288,765.925,795.925,20.3161,23.7782,0,1.425
Accelerating,38,19,20.4589,1.07105,115.881,5.80085,110.081,4.82839,0.966809,658.557,671.997,755.052,786.513,816.513,22.043,25.7994,0,1.50417
Accelerating,39,19.5,20.9941,1.07054,115.881,5.85332,110.028,4.82839,0.975554,675.787,689.578,774.807,807.091,837.091,23.8163,27.8749,0,1.58333
Accelerating,40,20,21.5292,1.07003,115.881,5.90641,109.975,4.82839,0.984402,693.008,707.151,794.552,827.658,857.658,25.7318,30.1168,0,1.66667
Accelerating,41,20.5,22.0639,1.0695,115.881,5.96011,109.921,4.82839,0.993352,710.222,724.716,814.288,848.216,878.216,27.6961,32.4159,0,1.75
Accelerating,42,21,22.5984,1.06898,115.881,6.01442,109.867,4.82839,1.0024,727.426,742.272,834.013,868.764,898.764,29.8099,34.8899,0,1.8375
Accelerating,43,21.5,23.1326,1.06844,115.881,6.06934,109.812,4.82839,1.01156,744.623,759.819,853.729,889.301,919.301,31.9749,37.4238,0,1.925
Accelerating,44,22,23.6666,1.0679,115.881,6.12488,109.757,4.82839,1.02081,761.81,777.357,873.435,909.828,939.828,34.2965,40.1411,0,2.01667
Accelerating,45,22.5,24.2002,1.06736,115.881,6.18102,109.7,4.82839,1.03017,778.989,794.887,893.131,930.345,960.345,36.6718,42.9211,0,2.10833
Accelerating,46,23,24.7336,1.0668,115.881,6.23776,109.644,4.82839,1.03963,796.159,812.407,912.817,950.851,980.851,39.211,45.893,0,2.20417
Accelerating,47,23.5,25.2668,1.06625,115.881,6.29511,109.586,4.82839,1.04919,813.32,829.918,932.492,971.346,1001.35,41.8062,48.9305,0,2.3
Accelerating,48,24,25.7996,1.06568,115.881,6.35307,109.528,4.82839,1.05884,830.471,847.42,952.157,991.83,1021.83,44.5726,52.1683,0,2.4
Accelerating,49,24.5,26.3322,1.06511,115.881,6.41163,109.47,4.82839,1.0686,847.614,864.912,971.811,1012.3,1042.3,47.3973,55.4744,0,2.5
Accelerating,50,25,26.8644,1.06454,115.881,6.47079,109.411,4.82839,1.07846,864.747,882.395,991.455,1032.77,1062.77,50.4005,58.9893,0,2.60417
Accelerating,51,25.5,27.3964,1.06395,115.881,6.53055,109.351,4.82839,1.08842,881.871,899.869,1011.09,1053.22,1083.22,53.4644,62.5753,0,2.70833
Accelerating,52,26,27.9281,1.06337,115.881,6.59091,109.291,4.82839,1.09848,898.986,917.332,1030.71,1073.66,1103.66,56.7139,66.3786,0,2.81667
Accelerating,53,26.5,28.4595,1.06277,115.881,6.65186,109.23,4.82839,1.10864,916.091,934.786,1050.32,1094.09,1124.09,60.0265,70.2557,0,2.925
