Phase,Iteration,Time (s),Total time (s),Distance (m),TotalDistance (m),Odo (m),Braking Distance,Slope,Radius,Speed (km/h),Speed Limit(km/h),Speed (m/s),Acceleration (km/h/s),Acceleration (m/s2),F Motor,F Res,F Total,F Motor /TM,F Res / TM,Torque,RPM,P Wheel,P_motor Out,P_motor In,P_vvvf,P_catenary,Catenary current,VVVF current,Energy Consumption,Energy of Powering,Energy of APS,Energy Catenary,Run res at 0,Run res at 5,Run res at 10,Run res at 25
Accelerating,1,1,1,0,0,0,0,0,300,3.6,80,1,3.6,1,362.16120414038085,13.161204140380859,349,15.090050172515868,0.18170016666666666,51.90977259345459,66.62299943381666,0,0,0,0,30,20,0,0,0.008333333333333333,0.008333333333333333,0.008333333333333333,0,0,0,0
Accelerating,2,1,2,1.5,1.5,1.5,0.5,0,300,7.288662490164427,80,2.0246284694901187,3.6886624901644263,1.0246284694901184,362.16120414038085,4.565868288329506,357.59533585205133,15.090050172515868,0.1902445120137294,51.90977259345459,134.88682137652927,362.16120414038085,369.5522491228376,415.2272462054355,432.52838146399534,462.52838146399534,308.3522543093302,288.3522543093302,0.10265340253412156,0.13681343929555426,0.016666666666666666,0.13681343929555426,0,0,0,0
Accelerating,3,1,3,2.536942704235178,4.036942704235178,4.036942704235178,1.573885408470356,0,300,10.974848320544695,80,3.0485689779290817,3.686185830380267,1.023940508438963,362.16120414038085,4.805966695182763,357.3552374451981,15.090050172515868,0.2002486122992818,51.90977259345459,203.10480929052025,733.2418844474377,748.2060045382017,840.6809039755075,875.709274974487,905.709274974487,603.8061833163247,583.8061833163247,0.31048840379473314,0.3883993490106895,0.025,0.3883993490106895,0,0,0,0
Accelerating,4,1,4,3.560539232148563,7.597481936383741,7.597481936383741,4.194275911716327,0,300,14.658246419219665,80,4.071735116449907,3.6833980986749704,1.023166138520825,362.16120414038085,5.07622179661293,357.08498234376793,15.090050172515868,0.21150924152553874,51.90977259345459,271.2712063578936,1104.0734119518063,1126.6055223998023,1265.8489015728117,1318.5926058050122,1348.5926058050122,899.0617372033415,879.0617372033414,0.6234343822391226,0.7630084061787485,0.03333333333333333,0.7630084061787485,0,0,0,0
Accelerating,5,1,5,4.583318185710319,12.18080012209406,12.18080012209406,7.858675582249535,0,300,18.338546620561463,80,5.09404072793374,3.6803002013417987,1.022305611483833,362.16120414038085,5.376545732523117,356.7846584078577,15.090050172515868,0.22402273885512988,51.90977259345459,339.3802725329685,1474.6244927141722,1504.7188701165023,1690.6953596814633,1761.140999668191,1791.140999668191,1194.0939997787941,1174.0939997787941,1.0414118461603732,1.260547572753246,0.041666666666666664,1.260547572753246,0,0,0,0
Accelerating,6,1,6,5.605193533675656,17.785993655769715,17.785993655769715,12.564244367602438,0,300,22.015439765849045,80,6.115399934958067,3.676893145287581,1.021359207024328,362.16120414038085,5.7068408888903805,356.45436325149046,15.090050172515868,0.2377850370370992,51.90977259345459,407.42628640427375,1844.8639239686254,1882.5142081312504,2115.1845035182587,2203.317191164853,2233.317191164853,1488.8781274432351,1468.8781274432351,1.5643324595301649,1.8809134591879273,0.049999999999999996,1.8809134591879273,0,0,0,0
Accelerating,7,1,7,6.626079538470233,24.412073194239948,24.412073194239948,18.307799544706484,0,300,25.688617810456513,80,7.135727169571252,3.673178044607467,1.0203272346131853,362.16120414038085,6.066999260379181,356.09420488000166,15.090050172515868,0.25279163584913256,51.90977259345459,475.4035471782158,2214.760604244421,2259.959800249409,2539.280674437538,2645.0840358724354,2675.0840358724354,1783.3893572482903,1763.3893572482903,2.1920990707105563,2.6239923580413818,0.05833333333333333,2.6239923580413818,0,0,0,0
Accelerating,8,1,8,7.645890786877846,32.057963981117794,32.057963981117794,25.08581735657003,0,300,29.357773924364555,80,8.154937201212375,3.6691561139080413,1.0192100316411226,362.16120414038085,6.456903097629089,355.70430104275175,15.090050172515868,0.2690376290678787,51.90977259345459,543.3063765391826,2584.2835441491566,2637.0240246419967,2962.948342294378,3086.4045232233107,3116.4045232233107,2077.603015482207,2057.603015482207,2.924605744222222,3.489660281158968,0.06666666666666667,3.489660281158968,0,0,0,0
Accelerating,9,1,9,8.664542217032938,40.72250619815073,40.72250619815073,32.89443481091139,0,300,33.02260259258411,80,9.172945164606695,3.6648286682195494,1.0180079633943193,362.16120414038085,6.876424915763398,355.28477922461747,15.090050172515868,0.2865177048234749,51.90977259345459,611.1291205080232,2953.4018764802618,3013.6753841635323,3386.152117037677,3527.2417885809136,3557.2417885809136,2371.494525720609,2351.494525720609,3.761737795378759,4.477783000209222,0.075,4.477783000209222,0,0,0,0
Accelerating,10,1,10,9.681949146303856,50.40445534445459,50.40445534445459,41.729451646066956,0,300,36.68279972326336,80,10.189666589795376,3.660197130679254,1.0167214251886816,362.16120414038085,7.325426749530945,354.8357773908499,15.090050172515868,0.3052261145637894,51.90977259345459,678.8661514427179,3322.084866327645,3389.8825166608626,3808.856760293104,3967.5591253053167,3997.5591253053167,2665.039416870211,2645.039416870211,4.703371827784554,5.58821609057181,0.08333333333333333,5.58821609057181,0,0,0,0
