Phase,Iteration,Time (s),Total time (s),Distance (m),TotalDistance (m),Odo (m),Braking Distance,Slope,Radius,Speed (km/h),Speed Limit(km/h),Speed (m/s),Acceleration (km/h/s),Acceleration (m/s2),F Motor,F Res,F Total,F Motor /TM,F Res / TM,Torque,RPM,P Wheel,P_motor Out,P_motor In,P_vvvf,P_catenary,Catenary current,VVVF current,Energy Consumption,Energy of Powering,Energy of APS,Energy Catenary,Run res at 0,Run res at 5,Run res at 10,Run res at 25
Accelerating,1,1,1,0,0,0,0,3,650,3.6,115,1,3.6,1,372.3849712173039,23.384971217303935,349,15.516040467387663,0.6076904615384616,53.37517920781357,66.62299943381666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accelerating,2,1,2,1.5,1.5,1.5,0.5,3,650,7.288662490164427,115,2.0246284694901187,3.6886624901644263,1.0246284694901184,372.3849712173039,14.789635365252584,357.59533585205133,15.516040467387663,0.6162348068855243,53.37517920781357,134.88682137652927,372.3849712173039,379.984664507453,426.9490612443292,440.15367138590636,440.15367138590636,293.43578092393756,293.43578092393756,0.10555129569651471,0.12226490871830732,0,0.12226490871830732,0,0,0,0
Accelerating,3,1,3,2.536942704235178,4.036942704235178,4.036942704235178,2.0495602197349503,3,650,10.974848320544695,115,3.0485689779290817,3.686185830380267,1.023940508438963,372.3849712173039,15.02973377210584,357.3552374451981,15.516040467387663,0.6262389071710767,53.37517920781357,203.10480929052025,753.941214336812,769.3277697314409,864.4132244173493,891.1476540385045,891.1476540385045,594.0984360256697,594.0984360256697,0.3192534539552483,0.369805923729003,0,0.369805923729003,0,0,0,0
Accelerating,4,1,4,3.560539232148563,7.597481936383741,7.597481936383741,4.646886406595783,3,650,14.658246419219665,115,4.071735116449907,3.6833980986749704,1.023166138520825,372.3849712173039,15.299988873536007,357.08498234376793,15.516040467387663,0.6374995363973336,53.37517920781357,271.2712063578936,1135.2412711000868,1158.409460306211,1301.5836632654057,1341.8388281086657,1341.8388281086657,894.5592187391105,894.5592187391105,0.6410338595958625,0.7425389315369657,0,0.7425389315369657,0,0,0,0
Accelerating,5,1,5,4.583318185710319,12.18080012209406,12.18080012209406,8.289513429265668,3,650,18.338546620561463,115,5.09404072793374,3.6803002013417987,1.022305611483833,372.3849712173039,15.600312809446194,356.7846584078577,15.516040467387663,0.6500130337269248,53.37517920781357,339.3802725329685,1516.2529641436843,1547.196902187433,1738.4234856038572,1792.1891604163477,1792.1891604163477,1194.7927736108986,1194.7927736108986,1.0708107768701494,1.24036925387484,0,1.24036925387484,0,0,0,0
Accelerating,6,1,6,5.605193533675656,17.785993655769715,17.785993655769715,12.974625468923852,3,650,22.015439765849045,115,6.115399934958067,3.676893145287581,1.021359207024328,372.3849712173039,15.930607965813458,356.45436325149046,15.516040467387663,0.663775331908894,53.37517920781357,407.42628640427375,1896.9442098513796,1935.6573569912036,2174.8959067316896,2242.1607285893706,2242.1607285893706,1494.7738190595803,1494.7738190595803,1.6084933760343727,1.8631916784829987,0,1.8631916784829987,0,0,0,0
Accelerating,7,1,7,6.626079538470233,24.412073194239948,24.412073194239948,18.699058182242574,3,650,25.688617810456513,115,7.135727169571252,3.673178044607467,1.0203272346131853,372.3849712173039,16.290766337302255,356.09420488000166,15.516040467387663,0.6787819307209273,53.37517920781357,475.4035471782158,2277.2830287616625,2323.7581926139414,2610.964261363979,2691.715733364927,2691.715733364927,1794.4771555766179,1794.4771555766179,2.253981762871579,2.6108904933065897,0,2.6108904933065897,0,0,0,0
Accelerating,8,1,8,7.645890786877846,32.057963981117794,32.057963981117794,25.459301119278685,3,650,29.357773924364555,115,8.154937201212375,3.6691561139080413,1.0192100316411226,372.3849712173039,16.680670174552166,355.70430104275175,15.516040467387663,0.6950279239396736,53.37517920781357,543.3063765391826,2657.2375566553246,2711.4668945462495,3046.5920163441006,3140.816511694949,3140.816511694949,2093.8776744632996,2093.8776744632996,3.007167011356648,3.4833395243329646,0,3.4833395243329646,0,0,0,0
Accelerating,9,1,9,8.664542217032938,40.72250619815073,40.72250619815073,33.251500377858775,3,650,33.02260259258411,115,9.172945164606695,3.6648286682195494,1.0180079633943193,372.3849712173039,17.100191992686472,355.28477922461747,15.516040467387663,0.7125079996952697,53.37517920781357,611.1291205080232,3036.776054952392,3098.7510764820327,3481.7427825640816,3589.4255490351356,3589.4255490351356,2392.950366023424,2392.950366023424,3.8679311992683236,4.480402176842724,0,4.480402176842724,0,0,0,0
Accelerating,10,1,10,9.681949146303856,50.40445534445459,50.40445534445459,42.07146149644069,3,650,36.68279972326336,115,10.189666589795376,3.660197130679254,1.0167214251886816,372.3849712173039,17.54919382645402,354.8357773908499,15.516040467387663,0.7312164094355841,53.37517920781357,678.8661514427179,3415.866921099972,3485.578490918339,3916.3803268745382,4037.5054916232352,4037.5054916232352,2691.6703277488236,2691.6703277488236,4.83614744674564,5.601931480071401,0,5.601931480071401,0,0,0,0
Accelerating,11,1,11,10.698027302389718,61.10248264684431,61.10248264684431,51.91465260559608,3,650,40.16184917689238,115,11.156069215803438,3.4790494536290244,0.9664026260080623,355.30204587744777,18.027529400634013,337.27451647681374,14.804251911560323,0.7511470583597505,50.92662657576751,743.2507930480921,3620.409386163374,3694.295292003443,4150.893586520722,4279.271738681157,4279.271738681157,2852.847825787438,2852.847825787438,5.862340583413263,6.7906180741495,0,6.7906180741495,0,0,0,0
Accelerating,12,1,12,11.63927052880747,72.74175317565178,72.74175317565178,62.228940173898586,3,650,43.31843907687752,115,12.032899743577087,3.1565898999851343,0.8768305277736483,324.523745806744,18.509891613740702,306.0138541930033,13.521822741947666,0.7712454839058626,46.51507023229997,801.667872803509,3620.409370391837,3694.2952759100376,4150.893568438244,4279.271720039427,4279.271720039427,2852.847813359618,2852.847813359618,6.888533715610496,7.979304663049341,0,7.979304663049341,0,0,0,0
Accelerating,13,1,13,12.471315007463913,85.2130681831157,85.2130681831157,72.39533811948878,3,650,46.22634149009863,115,12.840650413916284,2.9079024132211146,0.8077506703391985,300.8758890662991,18.970905117918864,281.9049839483803,12.536495377762463,0.790454379913286,43.12554409950287,855.4826452561824,3620.409408394399,3694.2953146881623,4150.893612009171,4279.271764957909,4279.271764957909,2852.847843305273,2852.847843305273,7.91472685857943,9.167991264426538,0,9.167991264426538,0,0,0,0
Accelerating,14,1,14,13.244525749085886,98.45759393220158,98.45759393220158,82.44115152620425,3,650,48.934426595399636,115,13.592896276499896,2.708085105301003,0.7522458625836119,281.9490714786775,19.41526543699693,262.5338060416806,11.74787797827823,0.8089693932082054,40.412700245277115,905.5995209331813,3620.409461385993,3694.2953687612176,4150.893672765413,4279.271827593209,4279.271827593209,2852.8478850621395,2852.8478850621395,8.940920016568658,10.35667788320243,0,10.35667788320243,0,0,0,0
Accelerating,15,1,15,13.969019207791703,112.42661313999328,112.42661313999328,92.3834145918424,3,650,51.47711641322413,115,14.299199003673367,2.5426898178244963,0.7063027271734712,266.34570444667975,19.846052663138284,246.49965178354145,11.097737685278323,0.8269188609640952,38.17621763735743,952.6555271257627,3620.4095342350156,3694.295443096955,4150.893756288713,4279.271913699705,4279.271913699705,2852.8479424664697,2852.8479424664697,9.9671131952067,11.545364525896792,0,11.545364525896792,0,0,0,0
Accelerating,16,1,16,14.652350367260105,127.07896350725338,127.07896350725338,102.23354607332674,3,650,53.87977344947688,115,14.966603735965798,2.402657036252749,0.6674047322924302,253.18967142616182,20.26541985610368,232.92425157005815,10.549569642756742,0.84439249400432,36.290519571083195,997.1200322274079,3620.4094973973606,3694.295405507511,4150.8937140533835,4279.271870158127,4279.271870158127,2852.847913438751,2852.847913438751,10.993306363403232,12.734051156496271,0,12.734051156496271,0,0,0,0
Accelerating,17,1,17,15.300306102112014,142.3792696093654,142.3792696093654,111.9996136947127,3,650,56.16174291193385,115,15.600484142203845,2.2819694624569715,0.6338804062380476,241.89920379664605,20.67494201956742,221.22426177707862,10.07913349152692,0.8614559174819759,34.672219210852596,1039.3510461733126,3620.409527270035,3694.2954359898317,4150.893748303181,4279.271905467197,4279.271905467197,2852.847936978131,2852.847936978131,12.019499540067073,13.922737796903826,0,13.922737796903826,0,0,0,0
